epoch,train_acc_mean,train_acc_min,train_acc_max,train_acc_npos,train_ploss_mean,train_ploss_min,train_ploss_max,train_ploss_npos,test_acc_mean,test_acc_min,test_acc_max,test_acc_npos,test_ploss_mean,test_ploss_min,test_ploss_max,test_ploss_npos,generalization_gap_acc,generalization_gap_ploss
25,0.006357142857142857,0.0063,0.0064,7,0.37975485714285717,0.378553,0.38194,7,0.006271428571428572,0.0058,0.0066,7,0.8404241428571428,0.832234,0.852166,7,8.571428571428532e-05,0.46066928571428567
26,0.006357142857142857,0.0063,0.0064,7,0.3783714285714286,0.377317,0.380259,7,0.006185714285714286,0.0058,0.0064,7,0.8408421428571428,0.830791,0.856275,7,0.0001714285714285715,0.4624707142857142
27,0.006314285714285715,0.0063,0.0064,7,0.3765891428571429,0.375699,0.378187,7,0.0061,0.0058,0.0063,7,0.8321815714285714,0.819907,0.850671,7,0.0002142857142857146,0.4555924285714285
28,0.0063,0.0063,0.0063,7,0.3756767142857143,0.374833,0.377166,7,0.006371428571428571,0.0061,0.0067,7,0.8299682857142857,0.82051,0.844037,7,-7.142857142857124e-05,0.4542915714285714
29,0.0063,0.0063,0.0063,7,0.3742142857142857,0.373503,0.375448,7,0.006071428571428572,0.0058,0.0062,7,0.8236495714285714,0.813377,0.841007,7,0.0002285714285714278,0.4494352857142857
30,0.006314285714285715,0.0063,0.0064,7,0.37278799999999995,0.372314,0.373369,6,0.006171428571428572,0.0058,0.0066,7,0.8249465714285714,0.815988,0.842493,7,0.00014285714285714336,0.45215857142857147
31,0.0063,0.0063,0.0063,7,0.371842,0.371252,0.372916,7,0.006271428571428572,0.0061,0.0065,7,0.8201090000000001,0.808913,0.841189,7,2.857142857142815e-05,0.4482670000000001
32,0.0063,0.0063,0.0063,7,0.3707794285714286,0.37022,0.371768,7,0.006371428571428571,0.0062,0.0067,7,0.8192594285714286,0.806349,0.838914,7,-7.142857142857124e-05,0.44848000000000005
33,0.006314285714285715,0.0063,0.0064,7,0.369589,0.36908,0.370494,7,0.006171428571428572,0.0058,0.0064,7,0.81777,0.806653,0.836899,7,0.00014285714285714336,0.448181
34,0.0063,0.0063,0.0063,7,0.36867285714285714,0.368282,0.36947,7,0.006214285714285714,0.0059,0.0064,7,0.8134977142857143,0.803127,0.830182,7,8.571428571428619e-05,0.44482485714285713
35,0.0063,0.0063,0.0063,7,0.36778842857142857,0.367415,0.368529,7,0.006114285714285714,0.0058,0.0063,7,0.8136215714285715,0.802611,0.832234,7,0.00018571428571428645,0.44583314285714293
36,0.0063,0.0063,0.0063,7,0.366932,0.366606,0.367631,7,0.0061285714285714285,0.0059,0.0063,7,0.813594,0.803478,0.830676,7,0.0001714285714285715,0.44666200000000006
37,0.0063,0.0063,0.0063,7,0.36609033333333335,0.365918,0.366348,6,0.006171428571428572,0.0058,0.0064,7,0.8126132857142857,0.802633,0.830516,7,0.0001285714285714284,0.44652295238095235
